contour_filename,dicom_filename
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0048-icontour-manual.txt,data/final_data/dicoms/SCD0000101/48.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0059-icontour-manual.txt,data/final_data/dicoms/SCD0000101/59.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0068-icontour-manual.txt,data/final_data/dicoms/SCD0000101/68.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0079-icontour-manual.txt,data/final_data/dicoms/SCD0000101/79.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0088-icontour-manual.txt,data/final_data/dicoms/SCD0000101/88.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0099-icontour-manual.txt,data/final_data/dicoms/SCD0000101/99.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0108-icontour-manual.txt,data/final_data/dicoms/SCD0000101/108.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0119-icontour-manual.txt,data/final_data/dicoms/SCD0000101/119.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0128-icontour-manual.txt,data/final_data/dicoms/SCD0000101/128.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0139-icontour-manual.txt,data/final_data/dicoms/SCD0000101/139.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0148-icontour-manual.txt,data/final_data/dicoms/SCD0000101/148.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0159-icontour-manual.txt,data/final_data/dicoms/SCD0000101/159.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0168-icontour-manual.txt,data/final_data/dicoms/SCD0000101/168.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0179-icontour-manual.txt,data/final_data/dicoms/SCD0000101/179.dcm
data/final_data/contourfiles/SC-HF-I-1/i-contours/IM-0001-0188-icontour-manual.txt,data/final_data/dicoms/SCD0000101/188.dcm
